reviewId,reviewerName,text,translatedText,stars,reviewDate,averageRating,reviewCount
Ci9DQUlRQUNvZENodHljRjlvT25OeVRITllSM2xJVUMwd1ZIZ3hhamd5TUc1TlZFRRAB,Jeisson Eduardo Arias,"Lugar muy agradable y tranquilo, la Lasagna es espectacular.","Very nice and quiet place, the lasagna is spectacular.",5,es,en,a month ago
Ci9DQUlRQUNvZENodHljRjlvT2psM1FsbDJabGN4VkVGeVJUbFpWVVJDU0VSS2QwRRAB,Yined Baquero,"El ambiente es muy acogedor al igual que la atención, además la comida deliciosa, recomiendo la lasagna y la pancita.","The atmosphere is very welcoming, as is the service, and the food is delicious; I recommend the lasagna and the pancita.",5,es,en,a month ago
Ci9DQUlRQUNvZENodHljRjlvT21Od1ExODRUMHhoZGpKUFVqZFBabEV4VHpGNlpHYxAB,marta villalobos,"Es un sitio muy especial, con una tradición maravillosa de calidad y buen servicio","It's a very special place, with a wonderful tradition of quality and good service.",5,es,en,4 months ago
Ci9DQUlRQUNvZENodHljRjlvT25kVWExbHBOM2N3UlVGa05HazRWV0p0Ukd0WFptYxAB,JUAN LUIS GONZÁLEZ TORRES,El mejor restaurante de Villavicencio Mauricio es lo máximo 🇮🇹🍕🍝,Mauricio is the best restaurant in Villavicencio 🇮🇹🍕🍝,5,es,en,4 months ago
Ci9DQUlRQUNvZENodHljRjlvT2tKT2NqRlpPVmhvT1d4ME9FeHNhelV6WDJaUGRVRRAB,juan guillermo gonzalez villalobos,El mejor restaurante de Villavicencio.,The best restaurant in Villavicencio.,5,es,en,4 months ago
ChdDSUhNMG9nS0VJQ0FnSURRNnRfSXpRRRAB,Mario Garcia,"Excelente atención, delicioso menú, Lasagna exquisita.","Excellent service, delicious menu, exquisite lasagna.",5,es,en,Edited 5 months ago
Ci9DQUlRQUNvZENodHljRjlvT2w5blZYUkZTVFYxV0Zkc1MxRmpRbVpKWTIxNlMwRRAB,Sebastian Montoya,"Exelente lugar todo es muy artesanal y delicioso,la atención es exelente.muy recomendado","Excellent place, everything is very artisanal and delicious, the service is excellent. Highly recommended.",5,es,en,7 months ago
Ci9DQUlRQUNvZENodHljRjlvT2pSbVpWRkhRbVV5ZW5Sa04zQnJWbUZyYm10S2RWRRAB,Diego Rodriguez Florez,"✨ Un bocado de esta lasagna y ya estaba en Italia 🇮🇹🍷… Entre el gratinado perfecto, el pan recién horneado, la copa de vino y la música en vivo, sentí que viajé sin moverme de la mesa. 🎶✨ Gracias volveré!","✨ One bite of this lasagna and I was already in Italy 🇮🇹🍷… Between the perfect gratin, the freshly baked bread, the glass of wine, and the live music, I felt like I had traveled without leaving the table. 🎶✨ Thank you, I'll be back!",5,es,en,8 months ago
ChdDSUhNMG9nS0VJQ0FnSUNnODhTQjF3RRAB,Alejandro Jiménez,La mejor comida italiana de Villavicencio,The best Italian food in Villavicencio,5,es,en,Edited 9 months ago
Ci9DQUlRQUNvZENodHljRjlvT2xwR1JsWkVZVzlzVFZCUmVHZDJRVWR4YXpGelVWRRAB,jorge guativa,"Un clásico italiano de la ciudad de Villavicencio que nunca te da decepcion en sus platos sencillos muy deliciosos que se mira que son igual de elaborados con amor que con que te atienden y te acogen haciendo sentir como parte de la familia, ya que es idoneo para ir con la familia para compartir.","A classic Italian restaurant in the city of Villavicencio that never disappoints with its simple yet delicious dishes, which are clearly prepared with the same love as the warm and welcoming service, making you feel like part of the family. It's the perfect place to go with your family and share a meal.",5,es,en,10 months ago
Ci9DQUlRQUNvZENodHljRjlvT2tkaFEwZzJOaTB4YTI1Q1NFUm9UbkZ0T1hwRVZXYxAB,Hakan Karaduman,"El mejor restaurante de Villao, incluyendo otros de primera categoría. Gran chef y camarera y buena música.","Best restaurant in Villao, including other top-class ones. Great chef and waitress and great music.",5,es,en,11 months ago
ChdDSUhNMG9nS0VLYlBuTzM1a08yWnh3RRAB,Erol Isaac Zabicki Duardo,"Excelente opción, la verdadera comida italiana. Sabores de 1000 y una atención de familia. Muchas gracias 👌","Excellent choice, authentic Italian food. Amazing flavors and friendly service. Thank you so much! 👌",5,es,en,a year ago
ChZDSUhNMG9nS0VJQ0FnSURqNk9QZEpREAE,Jhonatan Gutierrez Gutierrez,La lasagna de la casa me recuerda mi infancia deliciosa 😋 lo mejor de lo mejor. De seguro la mejor de villavicencio y top 10 de colombia,The lasagna here brings back so many delicious childhood memories 😋 It's the best of the best. Definitely the best in Villavicencio and top 10 in Colombia.,5,es,en,Edited a year ago
